"filename", "language", "Properties", "Groovy", "Dart", "Swift", "Markdown", "C++", "XML", "JSON", "Java", "YAML", "comment", "blank", "total"
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\CutOperationButton.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 7, 31
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\DeleteOperationButton.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 9, 44
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\IOperateButtonBusiness.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\IOptButton.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\RemoveFavOperationButton.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\OperationButtom\RenameOperationButton.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 7, 39
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\Opertaion\Operation.dart", "Dart", 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 37, 16, 356
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\file_manager.dart", "Dart", 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 38, 23, 567
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\lib\main.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 9, 9, 78
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 45, 13, 80
"d:\a-Projects\VS code\FLUTTER\neo_file_manager\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 14, 102, 1317, 12, 15, 1, 127, 145, 4, 22, 203, 207, 2169
